"Dept Unit","Job Class","Exposure Type","Count","% of Total"
"","","","2704","100.0"
"3F Operating Rooms: 11410","ANESTHESIA TECH I: 5967","ENV-Exposure To Chemical","1","0.0"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","1","0.0"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","EXP-No Exp Incident Report Fil","1","0.0"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","EXP-Source Patient Test Only","1","0.0"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","7","0.3"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"3F Operating Rooms: 11410","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","2","0.1"
"3F Operating Rooms: 11410","Surgical Tech 1: 5982","EXPNS-Needlestick/Sharp BBP","4","0.2"
"3F Operating Rooms: 11410","Surgical Tech 2: 5978","EXPNS-Needlestick/Sharp BBP","3","0.1"
"3F Operating Rooms: 11410","Surgical Tech 3: 5979","EXPMM- Mucous Membrane BBP","1","0.0"
"3F Operating Rooms: 11410","Surgical Tech 3: 5979","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","1","0.0"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","5","0.2"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","2","0.1"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Acute Care For The Elderly 6C1: 10325","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","1","0.0"
"Acute Care For The Elderly 6C1: 10325","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Acute Care For The Elderly 6C1: 10325","PATIENT CARE TECH: 5342","ENV-Exposure To Chemical","1","0.0"
"Acute Care For The Elderly 6C1: 10325","PATIENT CARE TECH: 5342","EXP- Not considered  BBP Exp","1","0.0"
"Acute Care For The Elderly 6C1: 10325","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Acute Care For The Elderly 6C1: 10325","POOL RN-C: 75363","EXP- No Exposure","1","0.0"
"Acute Care For The Elderly 6C1: 10325","POOL RN-C: 75363","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Acute Care Rotational Program: 16010","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Acute Care Rotational Program: 16010","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Acute Care Rotational Program: 16010","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","8","0.3"
"Acute Care Rotational Program: 16010","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Acute Care Rotational Program: 16010","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","3","0.1"
"Acute Care Rotational Program: 16010","GRAD CLINICAL NURSE: 5381","Unspecified","1","0.0"
"Acute IRF-Nursing: 11200","CLINICAL NURSE (RN): 5334","CD-Herpes Zoster Exposure","1","0.0"
"Acute IRF-Nursing: 11200","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
